method,execution_time
benchmark,26.798
multithreading,25.592
multithreading,24.183
multithreading,24.115
multithreading,24.529
benchmark,26.255
multithreading,24.157
multithreading,23.778
multithreading,24.2
benchmark,26.646
multithreading,24.138
multithreading,23.84
benchmark,26.745
benchmark,23.277
benchmark,25.303
benchmark,23.148
benchmark,23.106
benchmark,22.895
multithreading,21.358
benchmark,22.49
multithreading,20.736
benchmark,22.957
benchmark,22.509
multithreading,21.027
multithreading,21.09
benchmark,22.636
multithreading,21.045
multithreading,22.398
multithreading,21.432
multithreading,20.873
multithreading,20.99
benchmark,22.783
multithreading,21.048
benchmark,23.215
multithreading,20.95
multithreading,20.975
multithreading,20.985
multithreading,20.848
multithreading,20.924
multithreading,20.678
benchmark,22.937
multithreading,20.743
benchmark,23.243
benchmark,22.013
multithreading,21.077
benchmark,21.939
benchmark,22.814
multithreading,20.866
benchmark,22.262
benchmark,23.331
multithreading,20.68
multithreading,21.064
benchmark,22.523
multithreading,20.73
benchmark,22.892
multithreading,21.404
multithreading,20.881
multithreading,20.916
multithreading,20.677
benchmark,21.893
multithreading,20.948
multithreading,20.551
benchmark,22.485
benchmark,22.563
multithreading,20.818
multithreading,21.021
multithreading,20.757
multithreading,20.741
multithreading,20.893
benchmark,22.729
benchmark,22.987
benchmark,23.093
benchmark,22.436
multithreading,21.003
multithreading,20.705
multithreading,20.755
multithreading,20.692
benchmark,22.118
multithreading,20.805
benchmark,22.675
multithreading,20.686
multithreading,20.643
multithreading,20.853
benchmark,23.14
multithreading,20.568
benchmark,22.347
multithreading,20.762
multithreading,20.927
multithreading,20.68
multithreading,20.825
multithreading,21.019
multithreading,20.78
benchmark,22.725
multithreading,20.925
benchmark,22.082
benchmark,22.52
benchmark,23.028
multithreading,20.583
benchmark,22.92
multithreading,21.023
benchmark,22.707
multithreading,21.952
benchmark,33.822
benchmark,30.796
multithreading,35.136
benchmark,35.126
multithreading,29.073
benchmark,22.146
multithreading,20.912
multithreading,20.641
benchmark,21.822
multithreading,20.852
benchmark,22.868
multithreading,20.902
benchmark,22.186
benchmark,22.907
multithreading,20.868
multithreading,20.632
multithreading,20.724
multithreading,20.683
multithreading,20.951
benchmark,23.059
multithreading,20.724
multithreading,21.285
benchmark,23.058
benchmark,22.898
multithreading,20.636
benchmark,22.237
benchmark,21.795
benchmark,23.173
benchmark,22.776
benchmark,22.55
benchmark,22.914
multithreading,20.72
benchmark,22.433
benchmark,23.06
benchmark,21.72
benchmark,22.904
benchmark,22.609
benchmark,23.163
benchmark,22.122
multithreading,20.691
multithreading,20.567
multithreading,20.65
multithreading,20.717
multithreading,20.594
benchmark,22.781
benchmark,22.73
multithreading,20.515
benchmark,22.695
multithreading,20.613
benchmark,22.052
benchmark,22.97
multithreading,20.695
benchmark,22.83
multithreading,20.763
benchmark,23.005
multithreading,20.764
benchmark,22.828
multithreading,20.988
benchmark,22.709
benchmark,22.504
benchmark,22.922
benchmark,22.972
multithreading,20.425
benchmark,22.901
multithreading,20.807
multithreading,20.536
benchmark,22.871
benchmark,22.395
benchmark,22.262
multithreading,20.552
multithreading,20.64
benchmark,22.455
benchmark,22.2
multithreading,20.766
multithreading,20.924
benchmark,22.991
benchmark,23.0
benchmark,22.365
benchmark,23.006
multithreading,20.889
multithreading,20.738
multithreading,21.138
benchmark,22.888
multithreading,20.759
multithreading,20.783
benchmark,23.006
benchmark,23.078
multithreading,20.807
benchmark,22.481
multithreading,20.749
benchmark,23.092
benchmark,22.449
benchmark,23.268
benchmark,22.496
benchmark,22.754
multithreading,20.66
multithreading,20.766
multithreading,20.615
